[0525/154350.003:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x17bc03988000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154354.320:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x17bc00190200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154354.611:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x17bc00190200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154354.762:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x17bc00190200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/154416.236:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x340c0019ba00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154420.096:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x340c00195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154420.365:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x340c00195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154420.541:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x340c00195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/154439.097:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x73c0019ee00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154442.678:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x73c00199400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154442.968:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x73c00199400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154443.101:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x73c00199400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/154632.214:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45cc0019ba00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154637.463:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45cc00195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154637.831:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45cc00195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154638.055:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45cc00195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/154711.927:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b5c0240c600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/154716.890:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b5c00195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
